tenure_months,monthly_charges,total_charges,support_calls,contract_length_months,churned
19,36.55,693.45,4,12,1
39,97.59,3669.74,5,1,0
4,105.93,465.53,4,1,1
18,38.96,731.86,2,24,1
42,84.99,3541.92,2,24,1
32,113.06,3663.47,8,24,1
70,58.03,3744.05,10,1,1
17,52.71,915.79,2,24,0
9,47.91,403.0,0,12,1
12,91.83,1194.83,8,24,1
23,50.03,1177.77,9,12,1
14,68.81,943.53,6,24,0
56,84.25,4445.54,6,1,1
28,45.8,1205.25,5,1,0
38,107.66,4480.07,0,24,0
72,71.1,4878.05,3,24,0
14,32.18,420.28,8,24,0
8,37.78,279.41,0,1,0
54,77.56,3821.52,7,1,1
38,20.36,776.31,5,24,0
33,46.55,1547.98,6,12,1
24,24.03,586.51,1,24,0
32,74.06,2148.44,4,12,1
72,104.35,7751.71,1,12,0
61,58.42,3417.26,9,24,0
70,48.0,3113.26,7,12,0
11,77.7,773.99,2,12,1
46,64.65,3050.25,5,24,1
66,66.14,4463.64,6,24,0
69,103.15,7246.98,9,24,0
44,21.32,961.94,10,12,0
51,118.2,6549.69,8,12,0
46,80.43,3703.12,8,24,1
50,52.94,2771.35,7,24,0
61,62.42,3590.27,1,1,0
31,32.25,922.19,10,24,0
4,109.76,410.3,6,12,1
63,67.13,3838.87,4,1,0
5,102.06,507.11,4,24,1
44,47.31,2067.88,2,12,0
25,76.02,2030.58,6,12,1
40,101.2,4318.58,4,1,1
46,27.13,1241.01,10,12,0
42,49.98,2193.78,0,1,0
9,31.06,271.31,1,12,1
64,78.98,4591.44,6,24,1
34,105.15,3585.06,10,24,1
41,36.15,1336.03,8,1,0
3,29.75,91.5,8,12,1
68,115.16,7475.23,5,1,0
61,70.13,4534.72,4,12,1
46,36.38,1630.17,5,12,1
32,75.17,2436.76,9,12,1
31,83.19,2662.94,0,24,0
46,70.1,3323.54,10,1,1
72,104.43,8128.92,0,12,0
72,46.9,3159.04,6,24,0
24,66.89,1572.94,6,24,0
21,76.9,1735.83,8,24,1
71,62.96,4695.22,0,24,0
50,115.98,5650.2,2,1,1
8,40.1,350.23,3,24,1
22,37.9,843.83,3,12,1
62,90.06,5465.05,2,12,1
45,21.22,1033.33,6,1,1
4,58.3,232.1,7,1,1
2,43.99,90.91,7,1,0
4,85.79,312.68,0,1,0
2,73.43,139.92,6,24,0
21,64.8,1264.6,9,12,1
8,92.56,738.49,4,12,1
51,70.43,3520.39,4,12,0
23,67.25,1542.87,10,12,1
47,67.93,3418.99,8,24,1
53,105.2,5522.35,1,12,0
24,30.49,682.45,8,12,0
18,59.73,1072.11,5,24,1
21,81.05,1671.42,1,1,1
49,28.66,1461.18,1,12,0
27,114.57,2988.89,0,1,0
43,68.87,3007.02,2,12,1
20,114.33,2409.43,5,24,1
44,54.22,2396.17,1,12,1
8,113.66,917.26,8,1,1
61,117.88,7557.48,8,12,1
37,107.29,3675.48,1,1,1
30,77.37,2233.2,2,24,1
26,89.72,2519.87,9,24,0
10,72.94,758.53,1,1,1
69,110.58,7549.6,6,1,0
66,52.15,3618.79,9,12,0
61,30.31,1980.26,3,12,1
13,49.61,707.0,0,12,1
14,66.69,860.3,7,24,1
1,21.23,19.14,5,1,1
5,31.19,148.96,8,1,1
2,95.26,182.64,4,12,0
28,73.72,2017.53,8,1,1
23,94.26,2149.85,5,24,1
63,119.06,7686.61,6,1,1
39,104.99,3978.06,9,24,1
14,88.02,1347.76,4,12,1
16,115.31,1896.88,1,12,1
1,39.69,36.95,10,24,1
21,103.61,2387.81,0,1,1
59,22.59,1273.73,5,24,0
53,97.15,5638.98,6,1,1
58,55.17,2990.84,2,12,0
24,93.11,2245.94,5,24,0
27,73.22,1976.28,7,1,0
61,119.79,7659.31,4,12,1
41,58.26,2523.91,5,24,0
58,64.05,3889.53,6,12,0
46,39.11,1965.85,3,24,0
65,40.94,2766.88,0,1,0
14,22.86,299.9,3,1,0
55,49.59,2800.0,4,24,0
50,111.24,5610.16,9,1,1
60,108.2,7044.44,1,1,1
32,83.28,2791.96,2,12,0
9,23.64,225.52,10,12,0
17,50.19,850.36,4,24,1
48,60.1,2828.88,8,1,0
34,23.2,821.15,2,24,0
55,30.61,1768.82,9,1,0
38,54.02,2223.01,2,1,1
25,44.12,1102.11,1,1,0
42,114.44,4637.86,0,12,1
56,77.89,3955.57,2,1,0
36,86.63,3346.42,9,24,1
30,95.09,2807.67,10,12,1
45,36.45,1621.13,8,24,0
52,32.13,1555.58,0,24,0
66,116.59,8182.09,7,12,1
18,66.97,1123.99,0,12,0
49,106.03,5578.07,7,12,1
12,108.28,1341.76,2,1,1
11,111.69,1298.42,1,12,0
64,73.55,4552.52,2,12,1
72,32.04,2404.84,8,12,0
24,71.87,1833.46,8,24,1
14,71.04,1030.11,6,1,1
5,29.81,145.83,4,1,1
58,41.53,2349.54,6,12,1
34,47.96,1660.83,3,24,0
46,44.09,1926.9,2,12,1
46,40.92,1716.75,3,24,0
15,34.74,510.5,9,12,1
14,76.66,1065.73,10,12,1
37,73.86,2635.96,10,12,1
22,78.22,1667.74,3,1,0
11,43.87,479.8,0,1,0
42,70.23,3130.36,7,24,1
12,26.97,326.92,6,24,1
7,72.15,461.11,9,24,0
56,112.48,6408.66,4,12,1
9,113.3,1042.54,4,24,1
48,54.39,2391.01,10,24,1
6,67.44,389.41,4,12,1
66,27.91,1966.81,5,1,0
68,44.78,3089.29,6,24,1
55,33.51,1936.76,3,24,0
21,39.48,826.54,7,12,0
21,33.1,649.07,2,12,1
5,91.6,419.77,0,12,0
10,55.04,586.86,8,1,0
34,73.4,2348.35,3,1,1
72,55.01,3661.25,9,12,0
11,52.55,536.21,8,12,1
7,88.88,630.5,9,12,0
45,73.4,3241.15,7,12,0
21,73.41,1614.54,2,1,0
71,83.52,5483.71,0,1,0
56,66.82,3744.08,10,24,0
26,45.83,1162.08,7,24,1
26,87.08,2452.09,7,1,1
55,111.51,6366.58,3,12,1
51,93.41,4418.73,7,1,1
55,110.38,5560.71,1,1,0
38,67.01,2438.8,6,1,1
17,103.18,1588.93,10,1,1
29,36.89,1139.47,9,24,1
44,59.67,2465.57,4,12,0
6,82.08,529.34,0,1,1
23,55.79,1211.89,6,1,1
25,97.59,2669.16,10,12,1
55,42.81,2348.35,3,12,0
14,82.79,1083.63,0,24,1
17,40.19,647.76,1,12,1
61,62.61,4113.26,3,12,1
4,33.75,132.86,7,12,0
28,88.71,2672.87,1,24,1
59,66.66,3601.68,3,12,0
67,45.62,2979.79,1,1,0
38,51.97,1947.65,4,1,1
54,51.87,2860.8,1,24,0
29,21.31,664.57,7,1,0
8,49.99,376.82,9,1,0
66,67.94,4306.4,3,24,1
63,77.74,5328.41,6,24,1
27,59.26,1576.57,1,24,1
40,68.11,2482.03,4,12,1
13,70.97,910.0,3,24,1
55,75.87,4337.25,5,24,0
68,56.27,4187.7,8,1,0
63,29.59,1826.08,3,1,0
69,72.47,5399.38,6,12,0
11,116.2,1317.55,7,24,1
71,71.44,4959.62,7,12,0
34,80.61,2745.53,10,12,1
15,55.6,792.69,6,12,1
49,81.82,3824.99,4,12,0
49,100.72,4452.23,1,12,1
7,41.83,311.18,9,24,0
29,105.11,2767.63,6,1,0
59,109.61,6236.91,8,1,1
4,62.31,228.85,3,24,0
65,118.36,7247.39,2,24,0
5,113.64,553.89,3,12,1
72,100.62,7501.93,7,12,0
35,88.15,2841.26,10,1,1
27,27.0,777.34,0,1,0
60,65.88,4108.06,10,24,0
36,104.67,4081.01,0,12,1
24,24.27,576.35,6,12,1
16,43.1,628.52,9,1,1
72,66.84,4693.33,0,24,0
25,37.84,960.95,2,1,0
72,114.35,8083.55,2,12,0
55,63.66,3157.08,0,1,1
58,77.42,4374.38,1,24,0
10,40.77,379.9,4,12,1
36,56.83,2015.63,8,12,1
28,27.77,771.19,9,1,0
54,48.24,2694.91,3,1,1
50,48.38,2601.51,8,24,0
44,53.04,2232.91,0,1,0
4,89.0,334.25,3,12,1
17,110.29,1807.56,4,1,0
43,89.73,4180.53,10,24,1
18,67.76,1149.2,4,12,0
52,68.74,3675.88,6,24,1
22,102.33,2306.48,5,24,1
33,52.59,1645.4,1,12,0
23,30.25,755.79,9,24,1
20,80.46,1534.76,7,24,0
52,100.66,5121.61,2,12,0
1,113.88,106.09,2,12,0
32,23.69,830.27,10,12,0
46,84.79,3598.73,10,12,1
56,75.82,4132.41,2,12,0
20,64.28,1264.45,7,12,1
21,99.15,1875.08,5,12,1
57,37.31,2156.12,6,1,1
44,56.33,2575.33,3,1,0
48,85.7,4194.02,1,12,0
17,21.92,395.9,5,1,0
69,85.32,5646.9,5,1,0
55,92.51,5502.75,5,12,0
53,112.7,5976.46,8,12,1
58,84.09,5208.6,0,24,0
13,60.0,838.12,10,24,0
48,46.1,2011.09,1,24,1
39,105.71,4133.38,2,24,0
16,91.41,1478.65,5,12,1
37,114.15,3993.72,8,1,1
53,52.14,2705.23,6,12,1
72,23.13,1609.15,4,12,0
16,89.09,1380.72,6,24,1
23,28.29,705.29,2,1,1
20,97.39,2068.9,5,24,0
15,116.93,1707.77,8,12,1
51,94.96,4965.29,1,24,0
18,32.16,523.62,9,12,1
42,61.43,2713.47,10,24,1
52,27.07,1458.46,10,24,0
42,106.24,4033.32,4,1,1
42,31.45,1312.63,2,12,0
45,108.76,4989.88,7,12,0
59,110.13,5947.54,3,12,1
24,76.55,1668.79,4,12,1
65,82.84,5224.55,6,24,1
53,79.07,3852.22,2,1,0
7,41.21,307.18,9,24,1
65,110.51,7453.63,0,24,1
47,62.86,3006.94,9,1,0
8,72.77,623.61,9,1,1
13,41.17,547.4,10,12,1
9,110.77,946.1,0,12,1
68,35.04,2549.36,1,1,0
24,57.89,1426.81,4,12,1
62,57.88,3410.28,3,24,0
63,45.47,2846.26,1,12,1
10,90.24,970.49,10,1,1
1,80.17,82.45,7,1,1
31,58.9,1877.73,10,24,1
53,52.59,2594.42,10,24,1
15,41.52,651.09,3,24,0
18,94.08,1658.53,5,1,1
3,33.55,100.8,2,12,1
25,90.31,2312.92,3,1,1
46,24.25,1197.83,2,12,0
13,40.22,513.95,10,24,1
70,39.26,2565.95,6,1,0
35,85.66,3037.08,2,12,0
17,111.51,1964.23,7,1,1
38,74.06,3025.16,9,1,1
51,68.14,3162.45,5,24,0
48,102.79,5229.11,1,1,0
33,59.09,1921.67,4,1,1
35,72.74,2598.6,3,1,0
55,104.54,5500.76,1,24,0
2,37.53,75.9,7,1,1
24,85.99,2113.85,4,12,1
30,27.56,775.33,2,1,0
19,75.59,1482.49,0,12,1
1,102.4,95.87,8,24,1
39,25.26,994.09,1,24,0
60,24.07,1362.2,9,1,0
65,87.52,6197.69,5,1,1
13,24.02,341.25,2,1,0
67,27.13,1946.66,8,1,1
4,93.63,360.42,2,1,0
72,118.3,7743.64,1,12,0
54,28.35,1588.74,4,24,0
52,63.63,3149.85,7,1,1
64,37.27,2534.77,8,12,1
6,77.35,434.03,10,1,1
33,70.7,2465.92,8,12,0
8,70.18,537.71,9,1,1
54,30.62,1696.94,9,12,0
51,22.86,1119.36,6,12,0
34,77.2,2758.32,8,24,1
2,41.82,84.86,0,12,1
42,22.09,907.33,6,1,0
60,23.79,1391.39,5,24,0
53,45.35,2326.63,10,1,1
70,110.61,7175.37,3,1,0
63,106.35,6654.41,0,1,0
13,39.95,567.99,0,24,1
5,63.16,336.71,0,1,1
1,118.34,116.62,4,1,1
15,85.7,1329.99,7,12,0
32,40.29,1397.47,2,1,0
4,111.44,408.81,7,12,0
49,103.5,4804.74,10,24,1
28,83.2,2351.0,9,12,1
32,37.64,1139.24,5,1,1
38,84.75,3099.73,3,12,0
35,80.4,2793.21,1,12,0
54,98.5,5270.31,0,1,0
42,116.19,5208.47,6,24,1
64,64.64,4429.58,7,24,0
34,55.32,1785.18,9,1,0
48,60.35,3160.78,6,24,1
1,102.07,100.8,10,24,1
53,35.17,1688.73,0,1,0
31,22.48,757.63,7,1,1
12,31.68,354.98,3,12,0
46,99.64,4985.5,5,24,1
8,55.35,474.89,2,12,1
35,71.48,2521.51,7,24,0
50,40.72,1999.02,9,12,1
31,31.04,927.27,4,12,1
56,72.13,4133.58,6,1,0
41,42.91,1864.66,0,1,0
38,23.39,923.35,8,12,0
15,82.07,1137.06,0,24,0
59,96.33,5729.23,0,12,1
28,28.97,751.79,1,12,1
21,26.77,528.78,9,12,1
60,114.69,6657.49,9,1,1
55,48.15,2854.96,0,1,0
31,60.31,1929.31,4,12,1
62,105.91,6154.56,10,1,1
30,119.58,3681.33,3,24,0
72,82.29,6215.96,2,1,0
61,69.01,4110.85,2,12,0
39,52.09,2189.84,1,24,0
70,74.08,5339.9,5,12,0
17,20.91,342.34,6,24,0
52,114.72,6233.31,5,1,1
23,49.84,1102.4,7,24,0
34,72.68,2444.91,4,12,1
62,26.27,1744.15,2,12,0
34,70.91,2283.04,10,12,0
43,47.47,2102.36,5,1,0
14,61.75,823.37,2,24,1
63,35.74,2223.14,5,12,0
18,44.56,753.68,8,24,0
7,64.98,486.11,7,12,1
40,31.89,1186.65,4,24,0
71,69.94,5138.75,9,1,0
10,71.41,673.82,3,1,1
3,110.66,342.04,9,1,0
1,38.1,39.9,6,24,0
28,40.76,1148.96,3,12,0
15,117.58,1806.71,10,1,1
3,28.86,87.57,4,1,1
9,36.66,303.13,4,12,1
42,23.98,1015.6,9,24,1
5,44.76,203.25,3,1,0
14,61.91,848.24,8,24,1
58,43.74,2783.73,4,24,0
64,34.07,2147.61,3,12,0
26,96.33,2701.09,0,12,0
42,99.12,4454.04,10,24,1
24,21.21,542.61,8,12,0
29,81.76,2475.57,6,24,0
46,21.94,1000.86,1,12,0
8,26.24,210.84,4,24,1
65,115.55,7879.28,5,12,1
59,59.27,3558.1,7,24,0
6,92.77,542.95,10,12,1
1,78.43,81.92,6,24,0
21,44.37,1007.04,4,1,1
54,92.09,5032.92,5,24,0
34,101.76,3762.0,10,1,1
30,70.38,2318.44,8,1,1
39,118.41,4857.11,2,12,1
31,118.61,3364.05,10,24,0
35,59.29,1928.11,8,1,1
64,59.69,4152.94,0,1,0
25,21.77,587.2,10,12,1
49,49.84,2598.14,6,12,1
64,44.07,2539.1,3,1,0
22,60.82,1388.15,8,24,0
52,84.96,4263.45,10,1,1
26,113.53,3025.66,0,12,0
25,21.83,544.28,0,1,0
30,58.26,1873.49,0,1,0
15,23.95,370.51,7,24,1
56,41.78,2307.47,1,1,0
